,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
,2박 3일,3,12,0:00,강릉짬뽕순두부 동화가든 본점,강원특별자치도 강릉시 초당순두부길77번길 15 동화가든,맛집,,🎥 영상 보기
,2박 3일,3,13,0:00,카페 툇마루,강원특별자치도 강릉시 난설헌로 232 카페 툇마루,카페,,🎥 영상 보기
,2박 3일,3,14,0:00,만동제과 강릉점,강원특별자치도 강릉시 금성로 6 1층 만동제과,카페,,🎥 영상 보기
,2박 3일,3,15,0:00,인솔트베이커리,강원특별자치도 강릉시 강릉대로194번길 12 1층,카페,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
강릉&속초 3박4일 여행브이로그⛰️🌊 ･ﾟ✧강릉숙소/프라이빗/속초재방문맛집/키친온유/툇마루커피/초당옥수수커피/짬뽕순두부/강릉이래요/강릉길감자,3박 4일,1,1,0:00,빅파인트리하우스,강원특별자치도 강릉시 대송길 74-19 빅파인트리하우스,기타,640,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,3박 4일,2,2,0:00,강릉짬뽕순두부 동화가든 본점,강원특별자치도 강릉시 초당순두부길77번길 15 동화가든,맛집,,🎥 영상 보기
,3박 4일,2,3,0:00,카페 툇마루,강원특별자치도 강릉시 난설헌로 232 카페 툇마루,카페,,🎥 영상 보기
,3박 4일,2,4,0:00,갤러리밥스,강원특별자치도 강릉시 난설헌로 144 82-7 갤러리밥스,카페,,🎥 영상 보기
--- Day 3 코스 시작 ---,,,,,,,,,
,3박 4일,3,5,0:00,키친온유,강원 강릉시 난설헌로 144 1층,맛집,,🎥 영상 보기
--- Day 4 코스 시작 ---,,,,,,,,,
,3박 4일,4,6,0:00,강릉샌드 길감자점,강원 강릉시 경강로 2115 1층 102호,맛집,,🎥 영상 보기
,3박 4일,4,7,0:00,강릉이래요,강원특별자치도 강릉시 금성로 21 147호,기타,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
